"","species","chemical","formula","iupac"
"138","Abies balsamea","squalene","C30H62","2,6,10,15,19,23-hexamethyltetracosane"
"139","Abies balsamea","squalene","C30H50","(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyl-3-tritiotetracosa-2,6,10,14,18,22-hexaene"
"140","Abies balsamea","squalene","C30H50","(6E,10E,14E,18E)-2,6,10,15,19,23-hexa((113C)methyl)(1,4,8,12,13,17,21,24-13C8)tetracosa-2,6,10,14,18,22-hexaene"
"141","Abies balsamea","squalene","C30H58","(5E)-2,10-dimethylundeca-1,5,9-triene;methane;(6E,10E)-2-methyltrideca-2,6,10-triene"
"142","Abies balsamea","squalene","C30H50","(10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene"
"143","Abies balsamea","hexane","C6H14","hexane"
"144","Abies balsamea","hexane","C6H12","cyclohexane"
"145","Abies balsamea","hexane","C6H13",NA
"147","Abies balsamea","hexane","C6H14O","hexan-1-ol"
"148","Abies balsamea","hexane","C2H4O2S","2-sulfanylacetic acid"
"149","Abies balsamea","hexane","C5H12","pentane"
"150","Abies balsamea","hexane","C4H10","butane"
"151","Abies balsamea","hexane","C2H6","ethane"
"152","Abies balsamea","sugars","C12H22O11","(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"153","Abies balsamea","starch","C12H22O11","(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol"
"154","Abies balsamea","starch","C27H48O20","5-[5-[3,4-dihydroxy-6-(hydroxymethyl)-5-methoxyoxan-2-yl]oxy-6-[[3,4-dihydroxy-6-(hydroxymethyl)-5-methoxyoxan-2-yl]oxymethyl]-3,4-dihydroxyoxan-2-yl]oxy-6-(hydroxymethyl)-2-methyloxane-3,4-diol"
"155","Abies balsamea","starch","C12H25NO11","azane;(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol"
"156","Abies balsamea","terpenoids","C10H20O2","4-(2-hydroxypropan-2-yl)-1-methylcyclohexan-1-ol"
"157","Abies balsamea","monoterpenes","C10H16","2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"
"159","Abies balsamea","monoterpenes","C10H16","3,7,7-trimethylbicyclo[4.1.0]hept-3-ene"
"160","Abies balsamea","monoterpenes","C10H16","(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"
"161","Abies balsamea","monoterpenes","C10H16","(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane"
"162","Abies balsamea","monoterpenes","C10H16","(1R,6S)-3,7,7-trimethylbicyclo[4.1.0]hept-3-ene"
"163","Abies balsamea","glutathione","C10H17N3O6S","(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"164","Abies balsamea","glutathione","C10H17N3O6S","2-amino-5-[[1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"165","Abies balsamea","glutathione","C20H32N6O12S2","(2S)-2-amino-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]disulfanyl]-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid"
"166","Abies balsamea","glutathione","C10H17N3O6S","(2R)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"167","Abies balsamea","glutathione","C10H16N3O6S-","(2S)-2-azaniumyl-5-[[(2R)-1-(carboxylatomethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate"
"168","Abies balsamea","glutathione","C10H18N3O6S+","[(1S)-1-carboxy-4-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-4-oxobutyl]azanium"
"169","Abies balsamea","glutathione","C10H17N3O6S","2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"170","Abies balsamea","glutathione","C10H17N3O6S","(2S)-2-amino-5-[[(2S)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"171","Abies balsamea","glutathione","C10H17N3O6S","(2S)-2-azaniumyl-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate"
"172","Abies balsamea","glutathione","C10H18N3O6S+","[(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]sulfanium"
"173","Abies balsamea","glutathione","C10H18N4O5S","(2S)-2-amino-5-[[(2R)-1-[(2-amino-2-oxoethyl)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"174","Abies balsamea","glutathione","C9H16N2O4S","2-[[(2R)-2-(butanoylamino)-3-sulfanylpropanoyl]amino]acetic acid"
"175","Abies balsamea","glutathione","C7H12N2O4S","2-[[(2R)-2-acetamido-3-sulfanylpropanoyl]amino]acetic acid"
"176","Abies balsamea","glutathione","C15H22O9","2-[[5-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-1-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
"177","Abies balsamea","glutathione","C10H16N3O6S-","(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropane-1-thiolate"
"178","Abies balsamea","glutathione","C10H17N3O6S","(2S)-2-amino-5-[[(2R)-1-(hydroxycarbonyl(113C)methylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"179","Abies balsamea","glutathione","C10H17N3O6S","(2S)-2-amino-5-[[(2R)-1-[[carboxy(dideuterio)methyl]amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"180","Abies balsamea","glutathione","C10H17N3O6S","(2R)-2-amino-5-[[(2S)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"181","Abies balsamea","glutathione","C10H16N3O6S-","(2R)-2-[[(4R)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropane-1-thiolate"
"182","Abies balsamea","glutathione","C5H10N2O3","(2S)-2,5-diamino-5-oxopentanoic acid"
"183","Abies balsamea","glutathione","C20H32N6O12S2","(2S)-2-amino-5-[[3-[[2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]disulfanyl]-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid"
